Course area,Court or referral use,Primary authority,Provider requirement,Instructor or facilitator requirement,BUSI readiness,Next action,Official source
DWI Education,Court or probation ordered DWI education,Texas Department of Licensing and Regulation Court Ordered Education Programs,TDLR provider license with proper program endorsement,TDLR instructor endorsement and all required application background and exam steps,Not ready to advertise as court-approved,Review TDLR provider and instructor applications before offering,https://www.tdlr.texas.gov/court-ordered/
DWI Intervention,Court or probation ordered intervention often for higher-risk or repeat DWI circumstances,Texas Department of Licensing and Regulation Court Ordered Education Programs,TDLR provider license with proper program endorsement,TDLR instructor endorsement and all required credential and experience steps,Not ready to advertise as court-approved,Confirm whether BUSI wants to pursue this higher-compliance track,https://www.tdlr.texas.gov/court-ordered/drug-and-alcohol/instructor-apply.htm
Drug Offense Education,Court or probation ordered drug offense education,Texas Department of Licensing and Regulation Court Ordered Education Programs,TDLR provider license with proper program endorsement,TDLR instructor endorsement and required TDLR steps,Not ready to advertise as court-approved,Compare BUSI capacity to TDLR provider requirements,https://www.tdlr.texas.gov/court-ordered/drug-and-alcohol/provider-apply.htm
Alcohol Education for Minors,Court ordered or required education for minors alcohol-related matters,Texas Department of Licensing and Regulation Court Ordered Education Programs,TDLR provider license with proper program endorsement,TDLR instructor endorsement and required TDLR steps,Not ready to advertise as court-approved,Research whether this fits BUSI mission and available instructors,https://www.tdlr.texas.gov/court-ordered/
Driving Safety or Defensive Driving,Ticket dismissal or insurance discount when allowed by the court,Texas Department of Licensing and Regulation Driver Education and Safety,Driving Safety Provider license compliant course bond privacy process and certificate controls,Provider must meet TDLR driver safety rules and use approved course delivery,Not ready to advertise as court-approved,Determine whether BUSI wants provider status or referral-only role,https://www.tdlr.texas.gov/driver/safety/providers/apply.htm
Anger Management or Conflict Accountability,Court probation agency employer or family referral depending on order,Local court probation or referring agency acceptance; no single TDLR anger-management license identified,Written acceptance from ordering/referring court or agency before court-approved claims,Qualified facilitator curriculum attendance records assignments and completion review,BUSI can offer educational support but should not claim court-approved without written acceptance,Prepare BUSI court acceptance packet and request written acceptance from target agencies,curriculum-program-a.html
BIPP or Family Violence Intervention,Domestic violence family violence or battering intervention orders,Texas Health and Human Services or approved family violence program standards,Separate accreditation or approval path likely required; not a substitute for anger management,Specialized approved facilitators and compliance standards required,Do not offer as substitute until verified,Research Texas HHS BIPP accreditation and local court requirements before offering,https://www.hhs.texas.gov/services/safety/family-violence-program
Parenting or Co-Parenting,Court ordered in family or custody matters depending on court,Ordering court local rules or approved provider list,Written court acceptance or approved provider listing needed,Facilitator qualifications depend on court program requirements,Not ready until local requirements are verified,Compile Bexar County court-specific provider expectations before advertising,https://www.bexar.org/
Decision-Making Life Skills Theft or Financial Stewardship,Often probation diversion court agency or community referral,Ordering court probation department or referring agency,Usually written acceptance documentation and completion records,Qualified facilitator curriculum attendance and certificate controls,BUSI can develop educational support but should verify acceptance,Create course packets and seek written approval or referral acceptance from agencies,program-operations-policy.html
Community Service Documentation,Court agency or program service hours verification,Ordering court agency or supervising program,Accurate time sheet supervisor signature and verification contact,Authorized BUSI supervisor or representative signs after verified service,BUSI has a working form and should keep verification strict,Use BUSI letterhead time sheet and confirm court-specific submission rules,community-service-timesheet.html
